Date,Clicks,Impressions,CTR,Position
2025-09-15,6,100,6%,5.8
2025-09-16,13,113,11.5%,5.5
2025-09-17,13,115,11.3%,8
2025-09-18,4,99,4.04%,11.1
2025-09-19,5,83,6.02%,10.8
2025-09-20,3,81,3.7%,6.9
2025-09-21,2,86,2.33%,11.1
2025-09-22,5,94,5.32%,12.6
2025-09-23,7,90,7.78%,8.5
2025-09-24,14,120,11.67%,7
2025-09-25,8,83,9.64%,7.5
2025-09-26,9,90,10%,7
2025-09-27,8,71,11.27%,7.1
2025-09-28,6,72,8.33%,10.5
2025-09-29,7,89,7.87%,11.8
2025-09-30,4,77,5.19%,7.7
2025-10-01,5,89,5.62%,7
2025-10-02,4,90,4.44%,7.8
2025-10-03,3,67,4.48%,10.5
2025-10-04,10,107,9.35%,8.2
2025-10-05,2,69,2.9%,14.7
2025-10-06,5,84,5.95%,12.2
2025-10-07,2,145,1.38%,11.8
2025-10-08,8,115,6.96%,7.2
2025-10-09,13,115,11.3%,8.4
2025-10-10,4,99,4.04%,10.9
2025-10-11,5,73,6.85%,8
2025-10-12,3,80,3.75%,10.2
2025-10-13,13,130,10%,6.4
2025-10-14,15,123,12.2%,13.7
2025-10-15,6,105,5.71%,10.4
2025-10-16,12,103,11.65%,11.6
2025-10-17,5,61,8.2%,9.2
2025-10-18,2,88,2.27%,8.8
2025-10-19,4,56,7.14%,10.9
2025-10-20,10,93,10.75%,10.2
2025-10-21,16,113,14.16%,7.6
2025-10-22,6,63,9.52%,10.7
2025-10-23,9,113,7.96%,8.8
2025-10-24,4,77,5.19%,10.3
2025-10-25,4,55,7.27%,10.4
2025-10-26,7,89,7.87%,11.5
2025-10-27,5,96,5.21%,9.6
2025-10-28,8,126,6.35%,9.4
2025-10-29,5,98,5.1%,11.5
2025-10-30,11,109,10.09%,7.4
2025-10-31,0,78,0%,17.1
2025-11-01,5,91,5.49%,16.6
2025-11-02,4,112,3.57%,12
2025-11-03,5,87,5.75%,9.2
2025-11-04,7,100,7%,6.8
2025-11-05,6,92,6.52%,9.7
2025-11-06,5,90,5.56%,9.5
2025-11-07,6,102,5.88%,12.3
2025-11-08,4,85,4.71%,14.2
2025-11-09,7,92,7.61%,10.4
2025-11-10,6,102,5.88%,8.2
2025-11-11,2,107,1.87%,11.4
2025-11-12,9,117,7.69%,9.8
2025-11-13,3,106,2.83%,12.6
2025-11-14,3,88,3.41%,18.9
2025-11-15,7,81,8.64%,10.5
2025-11-16,3,97,3.09%,9.7
2025-11-17,3,87,3.45%,10.1
2025-11-18,3,116,2.59%,9.5
2025-11-19,7,92,7.61%,8.5
2025-11-20,5,96,5.21%,15.1
2025-11-21,4,117,3.42%,11
2025-11-22,0,108,0%,21.4
2025-11-23,7,112,6.25%,13.3
2025-11-24,10,183,5.46%,17.6
2025-11-25,3,114,2.63%,14.8
2025-11-26,1,124,0.81%,16.4
2025-11-27,2,89,2.25%,14.1
2025-11-28,4,94,4.26%,11.6
2025-11-29,3,103,2.91%,12.6
2025-11-30,6,120,5%,12.4
2025-12-01,11,112,9.82%,9.7
2025-12-02,5,157,3.18%,10.9
2025-12-03,12,131,9.16%,8.6
2025-12-04,4,139,2.88%,9.4
2025-12-05,1,138,0.72%,10.1
2025-12-06,3,138,2.17%,13.6
2025-12-07,6,131,4.58%,10.9
2025-12-08,6,134,4.48%,10.3
2025-12-09,5,117,4.27%,11.8
2025-12-10,10,159,6.29%,9.9
2025-12-11,8,149,5.37%,11
2025-12-12,2,141,1.42%,9.8
2025-12-13,6,164,3.66%,11.4
2025-12-14,4,116,3.45%,10.1
2025-12-15,7,113,6.19%,13.8
2025-12-16,7,128,5.47%,9.8
2025-12-17,7,145,4.83%,10.1
2025-12-18,6,132,4.55%,15.5
2025-12-19,8,158,5.06%,9.1
2025-12-20,9,174,5.17%,11.1
2025-12-21,3,130,2.31%,12.5
2025-12-22,9,150,6%,9.2
2025-12-23,8,101,7.92%,11.7
2025-12-24,6,77,7.79%,13.3
2025-12-25,5,90,5.56%,11.3
2025-12-26,5,114,4.39%,7.8
2025-12-27,8,101,7.92%,12.9
2025-12-28,9,127,7.09%,10.6
2025-12-29,6,157,3.82%,11.6
2025-12-30,4,155,2.58%,11.6
2025-12-31,7,142,4.93%,13.3
2026-01-01,5,118,4.24%,12.1
2026-01-02,11,171,6.43%,11.2
2026-01-03,6,155,3.87%,10
2026-01-04,5,208,2.4%,12.4
2026-01-05,10,208,4.81%,11.6
2026-01-06,8,189,4.23%,10.4
2026-01-07,7,229,3.06%,12
2026-01-08,16,200,8%,11.9
2026-01-09,4,143,2.8%,10.5
2026-01-10,7,147,4.76%,11.7
2026-01-11,6,145,4.14%,9.9
2026-01-12,14,176,7.95%,8.1
2026-01-13,21,218,9.63%,6.6
2026-01-14,16,176,9.09%,9
2026-01-15,12,190,6.32%,10.4
2026-01-16,8,177,4.52%,9.1
2026-01-17,6,165,3.64%,10.3
2026-01-18,10,136,7.35%,10.7
2026-01-19,8,195,4.1%,12.7
2026-01-20,10,204,4.9%,10.8
2026-01-21,14,196,7.14%,12.6
2026-01-22,6,184,3.26%,12.7
2026-01-23,5,180,2.78%,14.3
2026-01-24,12,178,6.74%,13.5
2026-01-25,6,198,3.03%,12.4
2026-01-26,11,183,6.01%,11.4
2026-01-27,6,205,2.93%,10.3
2026-01-28,12,164,7.32%,11.7
2026-01-29,13,187,6.95%,9.4
2026-01-30,8,183,4.37%,12.3
2026-01-31,4,204,1.96%,12.4
2026-02-01,6,197,3.05%,11.9
2026-02-02,9,192,4.69%,10
2026-02-03,9,205,4.39%,13.3
2026-02-04,10,179,5.59%,11.8
2026-02-05,14,279,5.02%,16.2
2026-02-06,4,131,3.05%,12.6
2026-02-07,7,170,4.12%,11
2026-02-08,7,118,5.93%,8.6
2026-02-09,6,158,3.8%,8.9
2026-02-10,8,161,4.97%,10.7
2026-02-11,7,179,3.91%,9.2
2026-02-12,6,184,3.26%,9
2026-02-13,5,184,2.72%,11
2026-02-14,1,158,0.63%,17.3
2026-02-15,0,13,0%,9.4
